Orthogroup	Arabidopsis_thaliana.TAIR10.pep.all	Mus_musculus-Cilia_proteome
OG0007640	AT1G24575.1 pep chromosome_TAIR10_1_8710847_8711578_-1 gene_AT1G24575 transcript_AT1G24575.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g24575 [Source_UniProtKB/TrEMBL;Acc_Q8LAL6]	
OG0007641	AT1G12790.1 pep chromosome_TAIR10_1_4358895_4361371_-1 gene_AT1G12790 transcript_AT1G12790.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_PTD description_Protein PARTING DANCERS [Source_UniProtKB/Swiss-Prot;Acc_F4IDW9]	
OG0007642	AT3G63400.2 pep chromosome_TAIR10_3_23412024_23415659_1 gene_AT3G63400 transcript_AT3G63400.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_CYP63 description_Peptidyl-prolyl cis-trans isomerase CYP63 [Source_UniProtKB/Swiss-Prot;Acc_Q9LY75]	
OG0007643	AT5G62750.1 pep chromosome_TAIR10_5_25203425_25204320_-1 gene_AT5G62750 transcript_AT5G62750.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At5g62750 [Source_UniProtKB/TrEMBL;Acc_Q9FM18]	
OG0007644	ATCG00160.1 pep chromosome_TAIR10_Pt_15013_15723_-1 gene_ATCG00160 transcript_ATCG00160.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPS2 description_30S ribosomal protein S2_ chloroplastic [Source_UniProtKB/Swiss-Prot;Acc_P56797]	
OG0007645	AT5G08760.1 pep chromosome_TAIR10_5_2854857_2855617_1 gene_AT5G08760 transcript_AT5G08760.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; FUNCTIONS IN_ molecular_function unknown; INVOLVED IN_ biological_process unknown; LOCATED IN_ endomembrane system; Ha. [Source_TAIR;Acc_AT5G08760]	
OG0007646	AT4G27370.3 pep chromosome_TAIR10_4_13694715_13700943_-1 gene_AT4G27370 transcript_AT4G27370.3 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_VIIIB description_P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source_TAIR;Acc_AT4G27370]	
OG0007647	AT4G27370.4 pep chromosome_TAIR10_4_13694881_13701119_-1 gene_AT4G27370 transcript_AT4G27370.4 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_VIIIB description_P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source_TAIR;Acc_AT4G27370]	
OG0007648	AT4G27370.1 pep chromosome_TAIR10_4_13694881_13700817_-1 gene_AT4G27370 transcript_AT4G27370.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_VIIIB description_P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source_TAIR;Acc_AT4G27370]	
OG0007649	AT4G27370.2 pep chromosome_TAIR10_4_13694689_13701103_-1 gene_AT4G27370 transcript_AT4G27370.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_VIIIB description_P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source_TAIR;Acc_AT4G27370]	
OG0007650	AT2G33520.1 pep chromosome_TAIR10_2_14196732_14197706_1 gene_AT2G33520 transcript_AT2G33520.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At2g33520 [Source_UniProtKB/TrEMBL;Acc_O22802]	
OG0007651	AT1G53625.1 pep chromosome_TAIR10_1_20014379_20015038_-1 gene_AT1G53625 transcript_AT1G53625.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g53625 [Source_UniProtKB/TrEMBL;Acc_Q9LPH9]	
OG0007652	AT1G74929.1 pep chromosome_TAIR10_1_28143997_28144098_-1 gene_AT1G74929 transcript_AT1G74929.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT1G74929]	
OG0007653	AT4G12485.1 pep chromosome_TAIR10_4_7406916_7406947_1 gene_AT4G12485 transcript_AT4G12485.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007654	AT1G08610.1 pep chromosome_TAIR10_1_2733596_2735819_-1 gene_AT1G08610 transcript_AT1G08610.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Pentatricopeptide repeat-containing protein At1g08610 [Source_UniProtKB/Swiss-Prot;Acc_Q9FRS4]	
OG0007655	AT1G48953.1 pep chromosome_TAIR10_1_18110814_18111463_-1 gene_AT1G48953 transcript_AT1G48953.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; BEST Arabidopsis thaliana protein match is_ unknown protein _TAIR_AT5G35066.1_; Ha. [Source_TAIR;Acc_AT1G48953]	
OG0007656	AT1G18871.1 pep chromosome_TAIR10_1_6519309_6519485_-1 gene_AT1G18871 transcript_AT1G18871.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; LOCATED IN_ endomembrane system; Ha. [Source_TAIR;Acc_AT1G18871]	
OG0007657	AT5G53670.1 pep chromosome_TAIR10_5_21796997_21797731_1 gene_AT5G53670 transcript_AT5G53670.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Transmembrane protein [Source_UniProtKB/TrEMBL;Acc_Q9FI09]	
OG0007658	AT3G07568.1 pep chromosome_TAIR10_3_2416243_2417822_-1 gene_AT3G07568 transcript_AT3G07568.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Fanconi anemia group D2 protein [Source_UniProtKB/TrEMBL;Acc_Q8W482]	
OG0007659	AT3G11270.1 pep chromosome_TAIR10_3_3528822_3531724_1 gene_AT3G11270 transcript_AT3G11270.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPN8B description_26S proteasome non-ATPase regulatory subunit 7 homolog B [Source_UniProtKB/Swiss-Prot;Acc_Q9C774]	
OG0007660	AT3G11270.2 pep chromosome_TAIR10_3_3528801_3531565_1 gene_AT3G11270 transcript_AT3G11270.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPN8B description_26S proteasome non-ATPase regulatory subunit 7 homolog B [Source_UniProtKB/Swiss-Prot;Acc_Q9C774]	
OG0007661	AT2G21105.1 pep chromosome_TAIR10_2_9048192_9048203_1 gene_AT2G21105 transcript_AT2G21105.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007662	AT2G44360.1 pep chromosome_TAIR10_2_18320732_18321696_-1 gene_AT2G44360 transcript_AT2G44360.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Ecotropic viral integration site protein [Source_UniProtKB/TrEMBL;Acc_O64870]	
OG0007663	AT2G07684.1 pep chromosome_TAIR10_2_3262235_3262345_-1 gene_AT2G07684 transcript_AT2G07684.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT2G07684]	
OG0007664	AT5G51840.1 pep chromosome_TAIR10_5_21071944_21074662_1 gene_AT5G51840 transcript_AT5G51840.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At5g51840 [Source_UniProtKB/TrEMBL;Acc_Q2HIW6]	
OG0007665	AT1G30640.1 pep chromosome_TAIR10_1_10860619_10865074_1 gene_AT1G30640 transcript_AT1G30640.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Non-specific serine/threonine protein kinase [Source_UniProtKB/TrEMBL;Acc_F4I6E4]	
OG0007666	AT1G30640.3 pep chromosome_TAIR10_1_10861675_10865036_1 gene_AT1G30640 transcript_AT1G30640.3 gene_biotype_protein_coding transcript_biotype_protein_coding description_Non-specific serine/threonine protein kinase [Source_UniProtKB/TrEMBL;Acc_F4I6E4]	
OG0007667	AT1G30640.2 pep chromosome_TAIR10_1_10860619_10865074_1 gene_AT1G30640 transcript_AT1G30640.2 gene_biotype_protein_coding transcript_biotype_protein_coding description_Non-specific serine/threonine protein kinase [Source_UniProtKB/TrEMBL;Acc_F4I6E4]	
OG0007668	AT3G43940.1 pep chromosome_TAIR10_3_15764265_15765371_-1 gene_AT3G43940 transcript_AT3G43940.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Uncharacterized protein T15B3_80 [Source_UniProtKB/TrEMBL;Acc_Q9LXW5]	
OG0007669	AT5G27607.1 pep chromosome_TAIR10_5_9760593_9762087_1 gene_AT5G27607 transcript_AT5G27607.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_JAB1/Mov34/MPN/PAD-1 ubiquitin protease [Source_UniProtKB/TrEMBL;Acc_A0A1P8BGX5]	
OG0007670	AT5G25480.1 pep chromosome_TAIR10_5_8869865_8872262_-1 gene_AT5G25480 transcript_AT5G25480.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_DNMT2 description_tRNA _cytosine_38_-C_5__-methyltransferase 2 [Source_UniProtKB/Swiss-Prot;Acc_F4JWT7]	
OG0007671	AT3G18510.1 pep chromosome_TAIR10_3_6355497_6356355_1 gene_AT3G18510 transcript_AT3G18510.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_ATP-dependent helicase/nuclease subunit [Source_UniProtKB/TrEMBL;Acc_Q8GXY3]	
OG0007672	AT3G63360.1 pep chromosome_TAIR10_3_23401166_23401679_-1 gene_AT3G63360 transcript_AT3G63360.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Defensin-like protein 11 [Source_UniProtKB/Swiss-Prot;Acc_Q9M1V4]	
OG0007673	AT3G01250.1 pep chromosome_TAIR10_3_79297_80173_1 gene_AT3G01250 transcript_AT3G01250.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At3g01250 [Source_UniProtKB/TrEMBL;Acc_Q9MAD4]	
OG0007674	AT1G53645.1 pep chromosome_TAIR10_1_20026016_20028756_-1 gene_AT1G53645 transcript_AT1G53645.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g53640/F22G10.8 [Source_UniProtKB/TrEMBL;Acc_Q9C8L9]	
OG0007675	AT3G21305.1 pep chromosome_TAIR10_3_7492980_7493434_1 gene_AT3G21305 transcript_AT3G21305.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007676	AT4G37760.1 pep chromosome_TAIR10_4_17743738_17746697_1 gene_AT4G37760 transcript_AT4G37760.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_SQE3 description_Squalene epoxidase 3 [Source_UniProtKB/Swiss-Prot;Acc_Q8VYH2]	
OG0007677	AT3G01840.1 pep chromosome_TAIR10_3_296582_298648_-1 gene_AT3G01840 transcript_AT3G01840.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_LYK2 description_Protein LYK2 [Source_UniProtKB/Swiss-Prot;Acc_Q9SGI7]	
OG0007678	AT2G20690.1 pep chromosome_TAIR10_2_8923305_8924974_1 gene_AT2G20690 transcript_AT2G20690.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At2g20690/F5H14.34 [Source_UniProtKB/TrEMBL;Acc_Q9SKU8]	
OG0007679	AT3G48540.1 pep chromosome_TAIR10_3_17989798_17992039_-1 gene_AT3G48540 transcript_AT3G48540.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Cytidine/deoxycytidylate deaminase family protein [Source_UniProtKB/TrEMBL;Acc_Q1PEH3]	
OG0007680	AT3G48343.1 pep chromosome_TAIR10_3_17899785_17900996_1 gene_AT3G48343 transcript_AT3G48343.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007681	AT1G10430.1 pep chromosome_TAIR10_1_3428478_3430636_-1 gene_AT1G10430 transcript_AT1G10430.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_PP2A2 description_Serine/threonine-protein phosphatase PP2A-2 catalytic subunit [Source_UniProtKB/Swiss-Prot;Acc_Q07098]	
OG0007682	AT1G10430.2 pep chromosome_TAIR10_1_3428478_3430924_-1 gene_AT1G10430 transcript_AT1G10430.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_PP2A2 description_Serine/threonine-protein phosphatase PP2A-2 catalytic subunit [Source_UniProtKB/Swiss-Prot;Acc_Q07098]	
OG0007683	AT3G54630.1 pep chromosome_TAIR10_3_20221097_20223028_-1 gene_AT3G54630 transcript_AT3G54630.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_NDC80 description_Kinetochore protein NDC80 homolog [Source_UniProtKB/Swiss-Prot;Acc_Q9M1G5]	
OG0007684	AT5G35660.1 pep chromosome_TAIR10_5_13852387_13853742_-1 gene_AT5G35660 transcript_AT5G35660.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Glycine-rich protein family [Source_UniProtKB/TrEMBL;Acc_Q9FJS3]	
OG0007685	AT3G15548.1 pep chromosome_TAIR10_3_5267063_5267164_1 gene_AT3G15548 transcript_AT3G15548.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Transmembrane protein [Source_UniProtKB/TrEMBL;Acc_B3H4Q8]	
OG0007686	AT2G28520.1 pep chromosome_TAIR10_2_12209800_12216077_1 gene_AT2G28520 transcript_AT2G28520.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_VHA-A1 description_V-type proton ATPase subunit a1 [Source_UniProtKB/Swiss-Prot;Acc_Q8RWZ7]	
OG0007687	ATMG00850.1 pep chromosome_TAIR10_Mt_235338_235661_1 gene_ATMG00850 transcript_ATMG00850.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ORF107E description_Uncharacterized mitochondrial protein AtMg00850 [Source_UniProtKB/Swiss-Prot;Acc_P92522]	
OG0007688	AT1G77230.1 pep chromosome_TAIR10_1_29016120_29019768_1 gene_AT1G77230 transcript_AT1G77230.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g77230 [Source_UniProtKB/TrEMBL;Acc_Q8VZL0]	
OG0007689	AT5G60260.1 pep chromosome_TAIR10_5_24255272_24256285_-1 gene_AT5G60260 transcript_AT5G60260.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT5G60260]	
OG0007690	AT4G34350.1 pep chromosome_TAIR10_4_16428407_16431144_-1 gene_AT4G34350 transcript_AT4G34350.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ISPH description_4-hydroxy-3-methylbut-2-enyl diphosphate reductase_ chloroplastic [Source_UniProtKB/Swiss-Prot;Acc_Q94B35]	
OG0007691	AT5G16950.1 pep chromosome_TAIR10_5_5572523_5573191_1 gene_AT5G16950 transcript_AT5G16950.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_AT5g16950/F2K13_100 [Source_UniProtKB/TrEMBL;Acc_Q9LFK6]	
OG0007692	AT2G30925.1 pep chromosome_TAIR10_2_13161815_13161943_1 gene_AT2G30925 transcript_AT2G30925.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative uncharacterized protein At2g30925 [Source_UniProtKB/TrEMBL;Acc_Q8S8Q0]	
OG0007693	AT2G31265.1 pep chromosome_TAIR10_2_13321866_13322049_1 gene_AT2G31265 transcript_AT2G31265.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007694	AT1G54420.1 pep chromosome_TAIR10_1_20311619_20312418_1 gene_AT1G54420 transcript_AT1G54420.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT1G54420]	
OG0007695	AT1G34640.1 pep chromosome_TAIR10_1_12687552_12688543_-1 gene_AT1G34640 transcript_AT1G34640.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g34640 [Source_UniProtKB/TrEMBL;Acc_Q9LNM6]	
OG0007696	AT2G13275.1 pep chromosome_TAIR10_2_5508414_5508837_-1 gene_AT2G13275 transcript_AT2G13275.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007697	AT4G11790.1 pep chromosome_TAIR10_4_7090313_7093492_1 gene_AT4G11790 transcript_AT4G11790.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_AT4g11790/T5C23_220 [Source_UniProtKB/TrEMBL;Acc_Q93ZH3]	
OG0007698	AT2G18720.3 pep chromosome_TAIR10_2_8114920_8116338_-1 gene_AT2G18720 transcript_AT2G18720.3 gene_biotype_protein_coding transcript_biotype_protein_coding description_Translation elongation factor EF1A/initiation factor IF2gamma family protein [Source_UniProtKB/TrEMBL;Acc_F4IRF5]	
OG0007699	AT2G18720.2 pep chromosome_TAIR10_2_8114855_8117085_-1 gene_AT2G18720 transcript_AT2G18720.2 gene_biotype_protein_coding transcript_biotype_protein_coding description_Translation elongation factor EF1A/initiation factor IF2gamma family protein [Source_UniProtKB/TrEMBL;Acc_F4IRF5]	
OG0007700	AT2G18720.1 pep chromosome_TAIR10_2_8114785_8116811_-1 gene_AT2G18720 transcript_AT2G18720.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Translation elongation factor EF1A/initiation factor IF2gamma family protein [Source_UniProtKB/TrEMBL;Acc_F4IRF5]	
OG0007701	AT4G11175.1 pep chromosome_TAIR10_4_6818058_6819253_1 gene_AT4G11175 transcript_AT4G11175.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Translation initiation factor IF-1_ chloroplastic [Source_UniProtKB/Swiss-Prot;Acc_O82499]	
OG0007702	ATCG00065.1 pep chromosome_TAIR10_Pt_69611_69724_-1 gene_ATCG00065 transcript_ATCG00065.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPS12A description_ribosomal protein S12A [Source_TAIR;Acc_ATCG00065]	
OG0007703	AT3G19960.3 pep chromosome_TAIR10_3_6948774_6956966_1 gene_AT3G19960 transcript_AT3G19960.3 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ATM1 description_Myosin 1 [Source_UniProtKB/TrEMBL;Acc_F4JCF9]	
OG0007704	AT1G61160.1 pep chromosome_TAIR10_1_22544868_22546230_-1 gene_AT1G61160 transcript_AT1G61160.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_CONTAINS InterPro DOMAIN/s_ Retrotransposon gag protein _InterPro_IPR005162_; Ha. [Source_TAIR;Acc_AT1G61160]	
OG0007705	AT5G53330.1 pep chromosome_TAIR10_5_21639216_21640963_1 gene_AT5G53330 transcript_AT5G53330.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Proline-rich cell wall protein-like [Source_UniProtKB/TrEMBL;Acc_Q8LG11]	
OG0007706	AT3G03341.1 pep chromosome_TAIR10_3_790130_790693_-1 gene_AT3G03341 transcript_AT3G03341.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Cold-regulated protein [Source_UniProtKB/TrEMBL;Acc_Q1G3B4]	
OG0007707	AT1G73740.1 pep chromosome_TAIR10_1_27734024_27736363_1 gene_AT1G73740 transcript_AT1G73740.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative UDP-N-acetylglucosamine--N-acetylmuramyl-_Pentapeptide_-pyrophosphoryl-undecaprenol N-acetylglucosamine transferase; 62395-63952 [Source_UniProtKB/TrEMBL;Acc_Q9C9T8]	
OG0007708	AT2G35320.1 pep chromosome_TAIR10_2_14866832_14868881_-1 gene_AT2G35320 transcript_AT2G35320.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ATEYA description_Eyes absent homolog [Source_UniProtKB/Swiss-Prot;Acc_O82162]	
OG0007709	AT5G09900.2 pep chromosome_TAIR10_5_3089278_3092566_-1 gene_AT5G09900 transcript_AT5G09900.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_EMB2107 description_26S proteasome regulatory subunit_ putative _RPN5_ [Source_UniProtKB/TrEMBL;Acc_B3H6B0]	
OG0007710	AT3G26512.1 pep chromosome_TAIR10_3_9711769_9712264_1 gene_AT3G26512 transcript_AT3G26512.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007711	AT3G54826.1 pep chromosome_TAIR10_3_20310269_20311854_1 gene_AT3G54826 transcript_AT3G54826.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Zim17-type zinc finger protein [Source_UniProtKB/TrEMBL;Acc_F4JE34]	
OG0007712	AT4G33690.1 pep chromosome_TAIR10_4_16174756_16176328_1 gene_AT4G33690 transcript_AT4G33690.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At4g33690 [Source_UniProtKB/TrEMBL;Acc_Q6NPE9]	
OG0007713	AT1G74385.1 pep chromosome_TAIR10_1_27960725_27960970_-1 gene_AT1G74385 transcript_AT1G74385.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007714	ATMG01350.1 pep chromosome_TAIR10_Mt_346757_347194_1 gene_ATMG01350 transcript_ATMG01350.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ORF145C description_Uncharacterized mitochondrial protein AtMg01350 [Source_UniProtKB/Swiss-Prot;Acc_P92564]	
OG0007715	AT3G10680.1 pep chromosome_TAIR10_3_3337689_3339345_1 gene_AT3G10680 transcript_AT3G10680.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_HSP20-like chaperones superfamily protein [Source_UniProtKB/TrEMBL;Acc_Q9S732]	
OG0007716	AT1G80315.1 pep chromosome_TAIR10_1_30194698_30195732_-1 gene_AT1G80315 transcript_AT1G80315.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007717	AT5G05470.1 pep chromosome_TAIR10_5_1620458_1622340_1 gene_AT5G05470 transcript_AT5G05470.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_EIF2A description_Eukaryotic translation initiation factor 2 subunit alpha [Source_UniProtKB/Swiss-Prot;Acc_Q9FE78]	
OG0007718	AT5G40730.1 pep chromosome_TAIR10_5_16301072_16301748_1 gene_AT5G40730 transcript_AT5G40730.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_AGP24 description_Arabinogalactan peptide 24 [Source_UniProtKB/Swiss-Prot;Acc_Q5PP12]	
OG0007719	AT5G19770.1 pep chromosome_TAIR10_5_6682420_6684744_-1 gene_AT5G19770 transcript_AT5G19770.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_TUBA3 description_Tubulin alpha chain [Source_UniProtKB/TrEMBL;Acc_A0A178UTQ9]	
OG0007720	AT1G50020.1 pep chromosome_TAIR10_1_18519946_18521781_-1 gene_AT1G50020 transcript_AT1G50020.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_F2J10.10 protein [Source_UniProtKB/TrEMBL;Acc_Q9LPM3]	
OG0007721	AT5G04475.1 pep chromosome_TAIR10_5_1267020_1267357_1 gene_AT5G04475 transcript_AT5G04475.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
